municipio_id,year,urbana,rustica,bice_grupo_a,bice_grupo_b,bice_grupo_c,bice_grupo_d
3018,2006,0.75,0.3,0.75,0.75,0.75,0.75
3019,2006,1.09,0.6,0.6,0.6,0.6,0.6
3020,2006,0.7,0.7,0.6,0.6,0.6,0.6
3021,2006,0.8,0.75,0.6,0.6,0.6,0.6
3022,2006,0.6,0.6,0.6,0.6,0.6,0.6
3023,2006,0.75,0.55,0.6,0.6,0.6,0.6
3024,2006,0.75,0.6,0.6,0.6,0.6,0.6
3025,2006,0.5,0.52,0.6,0.6,0.6,0.6
3026,2006,0.65,0.9,1.3,1.3,1.3,1.3
3027,2006,0.5,0.8,1.3,1.3,1.3,1.3
3028,2006,0.8,0.4,1,1,1,1
3029,2006,0.6,0.3,0.6,0.6,0.6,0.6
3030,2006,0.55,0.65,1.3,1.3,1.3,1.3
3031,2006,0.6,0.6,0.6,0.6,0.6,0.6
3032,2006,0.62,0.6,0.6,0.6,0.6,0.6
3033,2006,0.6,0.8,0.6,0.6,0.6,0.6
3034,2006,0.6,0.65,0.6,0.6,0.6,0.6
3035,2006,0.66,0.84,0.66,0.66,0.66,0.66
3036,2006,0.85,0.65,0.6,0.6,0.6,0.6
3037,2006,0.55,0.65,1.3,1.3,1.3,1.3
3038,2006,0.4,0.4,0.6,0.6,0.6,0.6
3039,2006,0.8,0.5,0.6,0.6,0.6,0.6
3040,2006,0.65,0.6,0.6,0.6,0.6,0.6
3041,2006,0.75,0.7,1.3,1.3,1.3,1.3
3042,2006,0.6,0.3,0.6,0.6,0.6,0.6
3043,2006,1.1,0.85,0.6,0.6,0.6,0.6
3044,2006,0.66,0.7,0.75,0.75,0.75,0.75
3045,2006,0.6,0.6,0.6,0.6,0.6,0.6
3046,2006,0.7,0.55,0.6,0.6,0.6,0.6
3047,2006,0.8,0.3,0.6,0.6,0.6,0.6
3048,2006,0.9,0.7,0.6,0.6,0.6,0.6
3049,2006,0.82,0.65,0.6,0.6,0.6,0.6
3050,2006,0.85,0.85,0.85,0.85,0.85,0.85
3051,2006,0.8,0.65,0.6,0.6,0.6,0.6
3052,2006,0.68,0.65,0.6,0.6,0.6,0.6
3053,2006,1,0.3,0.6,0.6,0.6,0.6
3054,2006,0.6,0.75,0.6,0.6,0.6,0.6
3055,2006,0.65,0.57,0.5,0.5,0.5,0.5
3056,2006,0.9,0.35,0.6,0.6,0.6,0.6
3057,2006,0.4,0.65,0.8,0.8,0.8,0.8
3058,2006,0.5,0.3,0.6,0.6,0.6,0.6
3059,2006,0.78,0.83,0.6,0.6,0.6,0.6
3060,2006,0.65,0.4,0.6,0.6,0.6,0.6
3061,2006,0.6,0.6,0.6,0.6,0.6,0.6
3062,2006,0.65,0.7,0.6,0.6,0.6,0.6
3063,2006,0.9,0.6,0.85,0.85,0.85,0.85
3064,2006,0.75,0.3,0.75,0.75,0.75,0.75
3065,2006,0.77,0.548,0.77,0.77,0.77,0.77
3066,2006,1.16,0.68,0.62,0.62,0.62,0.62
3067,2006,0.71,0.66,0.71,0.71,0.71,0.71
3068,2006,0.77,0.65,0.6,0.6,0.6,0.6
3069,2006,0.7,0.3,0.85,0.85,0.85,0.85
3070,2006,0.7,0.5,0.6,0.6,0.6,0.6
3071,2006,0.75,0.3,1.3,1.3,1.3,1.3
3072,2006,0.7,0.3,0.6,0.6,0.6,0.6
3073,2006,0.6,0.5,0.5,0.5,0.5,0.5
3074,2006,0.6,0.86,0.6,0.6,0.6,0.6
3075,2006,0.8,0.7,0.6,0.6,0.6,0.6
3076,2006,0.75,0.32,0.6,0.6,0.6,0.6
3077,2006,0.85,0.65,0.6,0.6,0.6,0.6
3078,2006,0.85,0.45,0.6,0.6,0.6,0.6
3079,2006,0.81,0.3,0.6,0.6,0.6,0.6
3080,2006,0.45,0.3,0.6,0.6,0.6,0.6
3081,2006,0.75,0.45,0.75,0.75,0.75,0.75
3082,2006,0.7,0.6,0.6,0.6,0.6,0.6
3083,2006,0.96,0.96,0.6,0.6,0.6,0.6
3084,2006,0.6,0.4,0.6,0.6,0.6,0.6
3085,2006,0.6,0.3,0.6,0.6,0.6,0.6
3086,2006,0.75,0.5,1.3,1.3,1.3,1.3
3088,2006,0.85,0.7,1.03,1.03,1.03,1.03
3089,2006,1.01,0.84,1,1,1,1
3090,2006,0.6,0.75,0.6,0.6,0.6,0.6
3091,2006,0.6,0.3,0.6,0.6,0.6,0.6
3092,2006,0.85,0.3,0.6,0.6,0.6,0.6
3093,2006,0.93,0.76,0.66,0.66,0.66,0.66
3094,2006,0.75,0.3,0.6,0.6,0.6,0.6
3095,2006,0.8,0.44,1.3,1.3,1.3,1.3
3096,2006,0.92,0.71,0.6,0.6,0.6,0.6
3097,2006,0.71,0.31,0.62,0.62,0.62,0.62
3098,2006,0.7,0.65,0.6,0.6,0.6,0.6
3099,2006,0.75,0.65,0.65,0.65,0.65,0.65
3100,2006,0.8,0.3,0.6,0.6,0.6,0.6
3101,2006,0.88,0.6,1.3,1.3,1.3,1.3
3102,2006,1.01,0.96,0.6,0.6,0.6,0.6
3103,2006,0.66,0.84,0.66,0.66,0.66,0.66
3104,2006,0.97,0.6,0.6,0.6,0.6,0.6
3105,2006,0.56,0.3,0.6,0.6,0.6,0.6
3106,2006,0.5,0.6,1.3,1.3,1.3,1.3
3107,2006,0.6,0.65,0.6,0.6,0.6,0.6
3109,2006,0.75,0.65,0.6,0.6,0.6,0.6
3110,2006,0.5,0.3,0.6,0.6,0.6,0.6
3111,2006,0.6,0.3,0.6,0.6,0.6,0.6
3112,2006,0.65,0.65,0.6,0.6,0.6,0.6
3113,2006,0.65,0.4,0.6,0.6,0.6,0.6
3114,2006,0.75,0.4,0.6,0.6,0.6,0.6
3115,2006,0.66,0.45,0.6,0.6,0.6,0.6
3116,2006,0.6,0.53,0.6,0.6,0.6,0.6
3117,2006,0.6,0.65,0.6,0.6,0.6,0.6
3118,2006,0.65,0.45,0.6,0.6,0.6,0.6
3119,2006,0.8,0.75,0.75,0.75,0.75,0.75
3120,2006,0.7,0.65,0.6,0.6,0.6,0.6
3121,2006,0.63,0.75,0.6,0.6,0.6,0.6
3122,2006,0.95,0.8,0.6,0.6,0.6,0.6
3123,2006,0.9,0.77,0.6,0.6,0.6,0.6
3124,2006,0.65,0.8,0.6,0.6,0.6,0.6
3125,2006,0.8,0.6,1.3,1.3,1.3,1.3
3127,2006,0.75,0.6,0.6,0.6,0.6,0.6
3128,2006,0.65,0.3,0.6,0.6,0.6,0.6
3129,2006,0.75,0.8,0.6,0.6,0.6,0.6
3130,2006,0.85,0.65,0.6,0.6,0.6,0.6
3131,2006,0.7,0.55,0.6,0.6,0.6,0.6
3132,2006,0.68,0.6,0.6,0.6,0.6,0.6
3133,2006,0.8,0.6,0.6,0.6,0.6,0.6
3134,2006,0.85,0.67,0.6,0.6,0.6,0.6
3135,2006,0.55,0.5,0.6,0.6,0.6,0.6
3136,2006,0.6,0.6,0.6,0.6,0.6,0.6
3137,2006,0.6,0.3,0.6,0.6,0.6,0.6
3138,2006,1,0.45,0.6,0.6,0.6,0.6
3139,2006,0.9,0.6,0.6,0.6,0.6,0.6
3140,2006,0.84,0.54,0.84,0.84,0.84,0.84
3901,2006,0.65,0.64,0.6,0.6,0.6,0.6
3902,2006,0.65,0.65,0.6,0.6,0.6,0.6
3903,2006,0.5,0.6,0.6,0.6,0.6,0.6
3904,2006,0.45,0.3,0.6,0.6,0.6,0.6
4001,2006,0.7,0.8,0.6,0.6,0.6,0.6
4002,2006,0.5,0.6,0.6,0.6,0.6,0.6
4003,2006,0.75,0.95,0.6,0.6,0.6,0.6
4004,2006,0.7,0.8,0.6,0.6,0.6,0.6
4005,2006,0.6,0.7,0.6,0.6,0.6,0.6
4006,2006,0.75,0.7,0.6,0.6,0.6,0.6
4007,2006,0.6,0.8,0.6,1.1,0.6,0.6
4008,2006,0.4,0.3,0.6,0.6,0.6,0.6
4009,2006,0.4,0.65,0.6,0.6,0.6,0.6
4010,2006,0.6,0.8,0.6,0.6,0.6,0.6
4011,2006,0.6,0.8,0.6,0.6,0.6,0.6
4012,2006,0.4,0.8,0.6,0.6,0.6,0.6
4013,2006,0.755,0.625,0.6,0.6,0.6,1.3
4014,2006,0.6,0.5,0.6,0.6,0.6,0.6
4015,2006,0.4,0.6,0.6,0.6,0.6,0.6
4016,2006,0.46,0.65,0.6,0.6,0.6,0.6
4017,2006,0.5,0.8,0.6,0.6,0.6,0.6
4018,2006,0.4,0.65,0.6,0.6,0.6,0.6
4019,2006,0.5,0.65,0.6,0.6,0.6,0.6
4020,2006,0.6,0.7,0.6,0.6,0.6,0.6
4021,2006,0.5,0.75,0.6,0.6,0.6,0.6
4022,2006,0.43,0.7,0.6,0.6,0.6,0.6
4023,2006,0.6,0.5,0.6,0.6,0.6,0.6
4024,2006,0.7,0.57,0.6,0.6,0.6,0.6
4026,2006,0.4,0.65,0.6,0.6,0.6,0.6
4027,2006,0.4,0.65,0.6,0.6,0.6,0.6
4028,2006,0.85,0.65,0.6,0.6,0.6,0.6
4029,2006,0.65,0.9,0.6,0.65,0.6,0.6
4030,2006,0.56,0.5,0.6,0.6,0.6,0.6
4031,2006,0.55,0.8,0.6,0.6,0.6,0.6
4032,2006,0.4,0.3,1.3,0.6,0.6,0.6
4033,2006,0.8,0.8,0.6,0.6,0.6,0.6
4034,2006,0.7,0.85,0.6,0.6,0.6,0.6
4035,2006,0.69,0.6,0.6,1.1,0.6,0.6
4036,2006,0.85,0.65,0.6,0.6,0.6,0.6
4037,2006,0.5,0.4,0.6,0.6,0.6,0.6
4038,2006,0.8,0.9,0.6,0.6,0.6,0.6
4041,2006,0.6,0.4,0.6,0.6,0.6,0.6
4043,2006,0.5,0.3,0.6,0.6,0.6,0.6
4044,2006,0.5,0.65,0.6,0.6,0.6,0.6
4045,2006,0.46,0.8,0.6,0.6,0.6,0.6
4046,2006,0.5,0.7,0.6,0.6,0.6,0.6
4047,2006,0.7,0.6,0.6,0.6,0.6,0.6
4048,2006,0.4,0.65,0.6,0.6,0.6,0.6
4049,2006,0.48,0.3,0.6,0.6,0.6,0.6
4050,2006,0.6,0.5,0.6,0.6,0.6,0.6
4051,2006,0.4,0.85,0.6,0.6,0.6,0.6
4052,2006,0.65,0.3,0.6,0.6,0.6,0.6
4053,2006,0.7,0.6,0.6,1.1,0.6,0.6
4054,2006,0.5,0.8,0.6,0.6,0.6,0.6
4055,2006,0.6,0.7,0.6,0.6,0.6,0.6
4056,2006,0.5,0.75,0.6,0.6,0.6,0.6
4057,2006,0.7,0.8,0.6,0.6,0.6,0.6
4058,2006,0.58,0.65,0.6,0.6,0.6,0.6
4059,2006,0.78,0.65,0.6,0.6,0.6,0.6
4060,2006,0.85,0.8,0.6,0.6,0.6,0.6
4061,2006,0.65,0.55,0.6,0.6,0.6,0.6
4062,2006,0.5,0.75,0.6,0.6,0.6,0.6
4063,2006,0.4,0.3,0.6,0.6,0.6,0.6
4064,2006,0.5,0.4,0.6,0.6,0.6,0.6
4065,2006,0.65,0.5,0.6,0.6,0.6,0.6
4066,2006,0.5,0.8,0.6,0.6,0.6,0.6
4067,2006,0.5,0.3,0.6,0.6,0.6,0.6
4068,2006,0.5,0.4,0.6,0.6,0.6,0.6
4069,2006,0.65,0.6,0.6,0.6,0.6,0.6
4070,2006,0.65,0.75,0.6,0.6,0.6,0.6
4071,2006,0.6,0.5,0.6,0.6,0.6,0.6
4072,2006,0.58,0.8,0.6,0.6,0.6,0.6
